         60341816 function calls (60338469 primitive calls) in 693.266 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1193    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:996(_handle_fromlist)
    20800   76.760    0.004   86.411    0.004 <ipython-input-130-9c96945f89cb>:117(token_pair_features)
 14395550    8.997    0.000    8.997    0.000 <ipython-input-130-9c96945f89cb>:143(add)
    20800    3.660    0.000    4.347    0.000 <ipython-input-130-9c96945f89cb>:175(lexicon_features)
       44  346.179    7.868  682.084   15.502 <ipython-input-130-9c96945f89cb>:220(vectorize)
  3125832    0.212    0.000    0.212    0.000 <ipython-input-130-9c96945f89cb>:250(<lambda>)
  2890752    0.157    0.000    0.157    0.000 <ipython-input-130-9c96945f89cb>:253(<lambda>)
    27252    0.001    0.000    0.001    0.000 <ipython-input-130-9c96945f89cb>:254(<lambda>)
     9948    0.000    0.000    0.000    0.000 <ipython-input-130-9c96945f89cb>:271(<lambda>)
  1322220    0.061    0.000    0.061    0.000 <ipython-input-130-9c96945f89cb>:285(<lambda>)
        1    0.000    0.000    0.000    0.000 <ipython-input-130-9c96945f89cb>:296(accuracy_score)
       42    0.018    0.000    3.126    0.074 <ipython-input-130-9c96945f89cb>:306(cross_validation_accuracy)
        1    0.372    0.372  644.002  644.002 <ipython-input-130-9c96945f89cb>:332(eval_all_combinations)
        1    0.000    0.000    3.687    3.687 <ipython-input-130-9c96945f89cb>:35(download_data)
        3    0.000    0.000    0.000    0.000 <ipython-input-130-9c96945f89cb>:370(<listcomp>)
        2    0.013    0.006    0.107    0.053 <ipython-input-130-9c96945f89cb>:374(<listcomp>)
       42    0.000    0.000    0.000    0.000 <ipython-input-130-9c96945f89cb>:387(<lambda>)
        1    0.000    0.000    3.560    3.560 <ipython-input-130-9c96945f89cb>:390(plot_sorted_accuracies)
        1    0.001    0.001    0.002    0.002 <ipython-input-130-9c96945f89cb>:407(mean_accuracy_per_setting)
       12    0.000    0.000    0.000    0.000 <ipython-input-130-9c96945f89cb>:430(<lambda>)
        1    0.010    0.010   20.663   20.663 <ipython-input-130-9c96945f89cb>:436(fit_best_classifier)
        1    0.006    0.006    0.051    0.051 <ipython-input-130-9c96945f89cb>:452(<listcomp>)
        2    0.000    0.000    0.174    0.087 <ipython-input-130-9c96945f89cb>:46(read_data)
        2    0.003    0.002    0.008    0.004 <ipython-input-130-9c96945f89cb>:461(top_coefs)
        6    0.000    0.000    0.000    0.000 <ipython-input-130-9c96945f89cb>:485(<genexpr>)
     4204    0.000    0.000    0.000    0.000 <ipython-input-130-9c96945f89cb>:485(<lambda>)
        6    0.000    0.000    0.000    0.000 <ipython-input-130-9c96945f89cb>:487(<genexpr>)
     4204    0.000    0.000    0.000    0.000 <ipython-input-130-9c96945f89cb>:487(<lambda>)
        1    0.011    0.011   21.246   21.246 <ipython-input-130-9c96945f89cb>:490(parse_test_data)
        1    0.006    0.006    0.051    0.051 <ipython-input-130-9c96945f89cb>:513(<listcomp>)
        1    0.000    0.000    0.000    0.000 <ipython-input-130-9c96945f89cb>:519(print_top_misclassified)
        1    0.005    0.005  693.264  693.264 <ipython-input-130-9c96945f89cb>:544(main)
        1    0.000    0.000    0.000    0.000 <ipython-input-130-9c96945f89cb>:566(<listcomp>)
        1    0.000    0.000    0.000    0.000 <ipython-input-130-9c96945f89cb>:574(<listcomp>)
        1    0.000    0.000    0.000    0.000 <ipython-input-130-9c96945f89cb>:576(<listcomp>)
        2    0.000    0.000    0.000    0.000 <ipython-input-130-9c96945f89cb>:59(<listcomp>)
        2    0.017    0.008    0.077    0.039 <ipython-input-130-9c96945f89cb>:60(<listcomp>)
