90323620 function calls (89276719 primitive calls) in 91.586 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:119(release)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:159(__init__)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:163(__enter__)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:170(__exit__)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:176(_get_module_lock)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:190(cb)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:372(__init__)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:716(find_spec)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:74(__init__)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:789(find_spec)
       45    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:852(__enter__)
       45    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:856(__exit__)
       25    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:870(_find_spec_legacy)
        5    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:879(_find_spec)
        5    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:939(_find_and_load_unlocked)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:94(acquire)
        5    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:966(_find_and_load)
   765589    0.640    0.000    1.200    0.000 <frozen importlib._bootstrap>:996(_handle_fromlist)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1064(_path_importer_cache)
        5    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1101(_get_spec)
        5    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1133(find_spec)
        5    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1215(find_spec)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:30(_relax_case)
       25    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:366(_verbose_message)
       25    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:50(_path_join)
       25    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:52(<listcomp>)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:591(_open_registry)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:598(_search_registry)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:613(find_spec)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:68(_path_stat)
     9125    0.022    0.000    0.022    0.000 <ipython-input-13-69a592e03ae2>:105(<listcomp>)
        1    0.011    0.011    0.048    0.048 <ipython-input-13-69a592e03ae2>:116(train_test_split)
    48131    0.179    0.000    1.676    0.000 <ipython-input-13-69a592e03ae2>:125(cosine_sim)
        1    1.433    1.433   80.924   80.924 <ipython-input-13-69a592e03ae2>:138(make_predictions)
      101    0.000    0.000    0.002    0.000 <ipython-input-13-69a592e03ae2>:164(isNaN)
        1    0.000    0.000    0.000    0.000 <ipython-input-13-69a592e03ae2>:181(mean_absolute_error)
